study,N,arm,kind,rep,wall_s,internal
1,500,CPU,construct,0,0.024309,
1,500,CPU,construct,1,0.023743,
1,500,CPU,construct,2,0.025140,
1,500,CPU,construct,3,0.023411,
1,500,CPU,construct,4,0.026523,
1,500,CPU,construct,5,0.022642,
1,500,CPU,construct,6,0.022961,
1,500,CPU,construct,7,0.022791,
1,500,CPU,full,0,0.315241,0.289701
1,500,CPU,full,1,0.347099,0.318099
1,500,CPU,full,2,0.343987,0.324060
1,500,CPU,full,3,0.308661,0.286961
1,500,CPU,full,4,0.310680,0.292269
1,500,CPU,full,5,0.304035,0.290633
1,500,CPU,full,6,0.308818,0.288461
1,500,CPU,full,7,0.332116,0.304778
1,500,CPU,full,8,0.372950,0.341244
1,500,CPU,full,9,0.306221,0.289427
1,500,CPU,full,10,0.316758,0.289554
1,500,CPU,full,11,0.314610,0.288370
1,500,CPU,full,12,0.340988,0.311894
1,500,CPU,full,13,0.330010,0.303874
1,500,CPU,full,14,0.322995,0.295379
1,500,CPU,full,15,0.327939,0.301431
1,500,CPU,full,16,0.315803,0.293882
1,500,CPU,full,17,0.313506,0.290005
1,500,CPU,full,18,0.319998,0.291752
1,500,CPU,full,19,0.323101,0.293893
1,500,CPU,full,20,0.334710,0.307032
1,500,CPU,full,21,0.355318,0.328478
1,500,CPU,full,22,0.322321,0.295605
1,500,CPU,full,23,0.460685,0.328808
1,500,CPU,full,24,0.520652,0.289328
1,500,CPU,full,25,0.318835,0.290981
1,500,CPU,full,26,0.327689,0.298315
1,500,CPU,full,27,0.309937,0.287355
1,500,CPU,full,28,0.377363,0.350518
1,500,CPU,full,29,0.372975,0.346655
1,500,CPU,full,30,0.345548,0.317502
1,500,CPU,full,31,0.407962,0.381806
1,500,CPU,full,32,0.307981,0.290360
1,500,CPU,full,33,0.322258,0.296025
1,500,CPU,full,34,0.329382,0.308116
1,500,CPU,full,35,0.323071,0.299193
1,500,CPU,full,36,0.327920,0.301161
1,500,CPU,full,37,0.328556,0.309489
1,500,CPU,full,38,0.310295,0.290368
1,500,CPU,full,39,0.349379,0.322497
1,500,GPU,construct,0,0.108329,
1,500,GPU,construct,1,0.100131,
1,500,GPU,construct,2,0.099352,
1,500,GPU,construct,3,0.079064,
1,500,GPU,construct,4,0.088057,
1,500,GPU,construct,5,0.098763,
1,500,GPU,construct,6,0.095380,
1,500,GPU,construct,7,0.093199,
1,500,GPU,full,0,0.248826,139.600000
1,500,GPU,full,1,0.261070,161.300000
1,500,GPU,full,2,0.208067,113.900000
1,500,GPU,full,3,0.236901,134.200000
1,500,GPU,full,4,0.238816,148.300000
1,500,GPU,full,5,0.260637,155.600000
1,500,GPU,full,6,0.225430,126.800000
1,500,GPU,full,7,0.246181,143.300000
1,500,GPU,full,8,0.276322,156.300000
1,500,GPU,full,9,0.256599,152.600000
1,500,GPU,full,10,0.231197,110.900000
1,500,GPU,full,11,0.239065,136.000000
1,500,GPU,full,12,0.262425,152.800000
1,500,GPU,full,13,0.274622,161.800000
1,500,GPU,full,14,0.239425,118.000000
1,500,GPU,full,15,0.287519,171.100000
1,500,GPU,full,16,0.253830,146.200000
1,500,GPU,full,17,0.246300,141.100000
1,500,GPU,full,18,0.215563,111.700000
1,500,GPU,full,19,0.249923,136.700000
1,500,GPU,full,20,0.263835,150.400000
1,500,GPU,full,21,0.253316,151.400000
1,500,GPU,full,22,0.218137,114.800000
1,500,GPU,full,23,0.242337,142.100000
1,500,GPU,full,24,0.273639,165.800000
1,500,GPU,full,25,0.265890,155.800000
1,500,GPU,full,26,0.216108,111.400000
1,500,GPU,full,27,0.247196,136.300000
1,500,GPU,full,28,0.265668,166.600000
1,500,GPU,full,29,0.259561,152.700000
1,500,GPU,full,30,0.230652,125.600000
1,500,GPU,full,31,0.245589,133.900000
1,500,GPU,full,32,0.265361,154.300000
1,500,GPU,full,33,0.277815,155.100000
1,500,GPU,full,34,0.221375,111.300000
1,500,GPU,full,35,0.240640,138.600000
1,500,GPU,full,36,0.260819,157.000000
1,500,GPU,full,37,0.266308,155.400000
1,500,GPU,full,38,0.236106,132.400000
1,500,GPU,full,39,0.256383,143.000000
1,1000,CPU,construct,0,0.054416,
1,1000,CPU,construct,1,0.039008,
1,1000,CPU,construct,2,0.042582,
1,1000,CPU,construct,3,0.029613,
1,1000,CPU,construct,4,0.042457,
1,1000,CPU,construct,5,0.029432,
1,1000,CPU,construct,6,0.043548,
1,1000,CPU,construct,7,0.031623,
1,1000,CPU,full,0,0.607398,0.578974
1,1000,CPU,full,1,0.632600,0.590363
1,1000,CPU,full,2,0.626940,0.581880
1,1000,CPU,full,3,0.654106,0.597114
1,1000,CPU,full,4,0.726748,0.668231
1,1000,CPU,full,5,0.632439,0.577911
1,1000,CPU,full,6,0.616828,0.571879
1,1000,CPU,full,7,0.608908,0.578705
1,1000,CPU,full,8,0.633733,0.589872
1,1000,CPU,full,9,0.660711,0.601274
1,1000,CPU,full,10,0.617176,0.573062
1,1000,CPU,full,11,0.628966,0.574452
1,1000,CPU,full,12,0.618264,0.574869
1,1000,CPU,full,13,0.616153,0.573295
1,1000,CPU,full,14,0.617432,0.578471
1,1000,CPU,full,15,0.615674,0.572594
1,1000,CPU,full,16,0.619778,0.573873
1,1000,CPU,full,17,0.632539,0.586497
1,1000,CPU,full,18,0.661472,0.598941
1,1000,CPU,full,19,0.654584,0.591912
1,1000,CPU,full,20,0.645463,0.603928
1,1000,CPU,full,21,0.629785,0.579043
1,1000,CPU,full,22,0.637758,0.604238
1,1000,CPU,full,23,0.626390,0.574393
1,1000,CPU,full,24,0.614487,0.577394
1,1000,CPU,full,25,0.621801,0.581760
1,1000,CPU,full,26,0.624157,0.581577
1,1000,CPU,full,27,0.627565,0.579869
1,1000,CPU,full,28,0.821733,0.582844
1,1000,CPU,full,29,0.629574,0.575831
1,1000,CPU,full,30,0.633952,0.581369
1,1000,CPU,full,31,0.630455,0.577163
1,1000,CPU,full,32,0.615601,0.581685
1,1000,CPU,full,33,0.621639,0.583416
1,1000,CPU,full,34,0.620985,0.577641
1,1000,CPU,full,35,0.608090,0.574267
1,1000,CPU,full,36,0.651438,0.594167
1,1000,CPU,full,37,0.612206,0.581131
1,1000,CPU,full,38,0.630690,0.581530
1,1000,CPU,full,39,0.622182,0.581234
1,1000,GPU,construct,0,0.102919,
1,1000,GPU,construct,1,0.103864,
1,1000,GPU,construct,2,0.116809,
1,1000,GPU,construct,3,0.118002,
1,1000,GPU,construct,4,0.083825,
1,1000,GPU,construct,5,0.119938,
1,1000,GPU,construct,6,0.119837,
1,1000,GPU,construct,7,0.129065,
1,1000,GPU,full,0,0.227525,114.900000
1,1000,GPU,full,1,0.249970,142.000000
1,1000,GPU,full,2,0.307935,158.800000
1,1000,GPU,full,3,0.263790,145.100000
1,1000,GPU,full,4,0.228666,130.900000
1,1000,GPU,full,5,0.291755,153.100000
1,1000,GPU,full,6,0.275945,148.800000
1,1000,GPU,full,7,0.258994,126.300000
1,1000,GPU,full,8,0.293968,163.300000
1,1000,GPU,full,9,0.296121,172.600000
1,1000,GPU,full,10,0.269203,151.800000
1,1000,GPU,full,11,0.230141,112.400000
1,1000,GPU,full,12,0.285783,143.900000
1,1000,GPU,full,13,0.277016,153.500000
1,1000,GPU,full,14,0.262351,141.900000
1,1000,GPU,full,15,0.272211,130.300000
1,1000,GPU,full,16,0.275033,155.000000
1,1000,GPU,full,17,0.268965,152.400000
1,1000,GPU,full,18,0.251045,121.700000
1,1000,GPU,full,19,0.278264,142.000000
1,1000,GPU,full,20,0.276728,150.400000
1,1000,GPU,full,21,0.292928,154.500000
1,1000,GPU,full,22,0.240487,120.200000
1,1000,GPU,full,23,0.257637,135.400000
1,1000,GPU,full,24,0.306609,162.800000
1,1000,GPU,full,25,0.280359,146.900000
1,1000,GPU,full,26,0.248995,130.500000
1,1000,GPU,full,27,0.274400,153.800000
1,1000,GPU,full,28,0.283398,151.100000
1,1000,GPU,full,29,0.262904,130.400000
1,1000,GPU,full,30,0.286865,153.300000
1,1000,GPU,full,31,0.285495,155.800000
1,1000,GPU,full,32,0.273656,152.300000
1,1000,GPU,full,33,0.240615,114.400000
1,1000,GPU,full,34,0.279055,148.900000
1,1000,GPU,full,35,0.284410,157.900000
1,1000,GPU,full,36,0.267380,142.100000
1,1000,GPU,full,37,0.262691,125.000000
1,1000,GPU,full,38,0.275145,153.700000
1,1000,GPU,full,39,0.334084,190.400000
1,2000,CPU,construct,0,0.099311,
1,2000,CPU,construct,1,0.089279,
1,2000,CPU,construct,2,0.075065,
1,2000,CPU,construct,3,0.101778,
1,2000,CPU,construct,4,0.086717,
1,2000,CPU,construct,5,0.077066,
1,2000,CPU,full,0,1.298321,1.205602
1,2000,CPU,full,1,1.251942,1.169366
1,2000,CPU,full,2,1.241729,1.153427
1,2000,CPU,full,3,1.254241,1.169088
1,2000,CPU,full,4,1.241344,1.149474
1,2000,CPU,full,5,1.254542,1.159290
1,2000,CPU,full,6,1.276708,1.163125
1,2000,CPU,full,7,1.252675,1.164623
1,2000,CPU,full,8,1.237974,1.149248
1,2000,CPU,full,9,1.276019,1.174952
1,2000,CPU,full,10,1.265767,1.180272
1,2000,CPU,full,11,1.270039,1.160027
1,2000,CPU,full,12,1.231873,1.145350
1,2000,CPU,full,13,1.261498,1.156609
1,2000,CPU,full,14,1.244597,1.166749
1,2000,CPU,full,15,1.236391,1.151092
1,2000,CPU,full,16,1.242366,1.158242
1,2000,CPU,full,17,1.251681,1.160450
1,2000,CPU,full,18,1.263443,1.168937
1,2000,CPU,full,19,1.278902,1.179843
1,2000,CPU,full,20,1.272808,1.183300
1,2000,CPU,full,21,1.269543,1.168544
1,2000,CPU,full,22,1.239786,1.150333
1,2000,CPU,full,23,1.267116,1.174837
1,2000,CPU,full,24,1.250909,1.153155
1,2000,CPU,full,25,1.239069,1.151047
1,2000,CPU,full,26,1.239344,1.154395
1,2000,CPU,full,27,1.272939,1.179924
1,2000,CPU,full,28,1.256891,1.153547
1,2000,CPU,full,29,1.280143,1.161850
1,2000,GPU,construct,0,0.153038,
1,2000,GPU,construct,1,0.165258,
1,2000,GPU,construct,2,0.203203,
1,2000,GPU,construct,3,0.153766,
1,2000,GPU,construct,4,0.165064,
1,2000,GPU,construct,5,0.173411,
1,2000,GPU,full,0,0.288675,134.000000
1,2000,GPU,full,1,0.314164,155.300000
1,2000,GPU,full,2,0.338362,158.900000
1,2000,GPU,full,3,0.326455,138.000000
1,2000,GPU,full,4,0.315322,157.800000
1,2000,GPU,full,5,0.313058,156.400000
1,2000,GPU,full,6,0.331769,151.600000
1,2000,GPU,full,7,0.334444,147.200000
1,2000,GPU,full,8,0.359309,153.400000
1,2000,GPU,full,9,0.338360,139.500000
1,2000,GPU,full,10,0.380569,205.000000
1,2000,GPU,full,11,0.356380,155.900000
1,2000,GPU,full,12,0.340191,155.300000
1,2000,GPU,full,13,0.351168,153.600000
1,2000,GPU,full,14,0.349463,156.800000
1,2000,GPU,full,15,0.390699,198.900000
1,2000,GPU,full,16,0.350777,155.700000
1,2000,GPU,full,17,0.361311,162.000000
1,2000,GPU,full,18,0.314745,123.700000
1,2000,GPU,full,19,0.381839,159.800000
1,2000,GPU,full,20,0.351494,160.800000
1,2000,GPU,full,21,0.346424,140.200000
1,2000,GPU,full,22,0.364884,164.600000
1,2000,GPU,full,23,0.330717,139.400000
1,2000,GPU,full,24,0.334868,142.800000
1,2000,GPU,full,25,0.348290,155.900000
1,2000,GPU,full,26,0.341786,148.400000
1,2000,GPU,full,27,0.440655,232.300000
1,2000,GPU,full,28,0.348197,156.400000
1,2000,GPU,full,29,0.321077,129.800000
1,5000,CPU,construct,0,0.500781,
1,5000,CPU,construct,1,0.534668,
1,5000,CPU,construct,2,0.519680,
1,5000,CPU,construct,3,0.591717,
1,5000,CPU,construct,4,0.554883,
1,5000,CPU,construct,5,0.525821,
1,5000,CPU,full,0,3.471000,2.926864
1,5000,CPU,full,1,3.545718,3.008917
1,5000,CPU,full,2,3.457295,2.905818
1,5000,CPU,full,3,3.534787,2.937540
1,5000,CPU,full,4,3.498950,2.958773
1,5000,CPU,full,5,3.495576,2.956162
1,5000,CPU,full,6,3.468932,2.935589
1,5000,CPU,full,7,3.495746,2.945663
1,5000,CPU,full,8,3.583198,3.010094
1,5000,CPU,full,9,3.479083,2.917174
1,5000,CPU,full,10,3.477656,2.946272
1,5000,CPU,full,11,3.426230,2.890584
1,5000,CPU,full,12,3.443829,2.898462
1,5000,CPU,full,13,3.604989,3.063454
1,5000,CPU,full,14,3.445048,2.891261
1,5000,CPU,full,15,3.498138,2.961818
1,5000,CPU,full,16,3.546708,3.014120
1,5000,CPU,full,17,3.466508,2.932321
1,5000,CPU,full,18,3.526897,2.962415
1,5000,CPU,full,19,3.503757,2.957297
1,5000,CPU,full,20,3.513867,2.944713
1,5000,CPU,full,21,3.420439,2.897861
1,5000,CPU,full,22,3.442350,2.914409
1,5000,CPU,full,23,3.496022,2.932329
1,5000,GPU,construct,0,0.596976,
1,5000,GPU,construct,1,0.622628,
1,5000,GPU,construct,2,0.603544,
1,5000,GPU,construct,3,0.632906,
1,5000,GPU,construct,4,0.620671,
1,5000,GPU,construct,5,0.627136,
1,5000,GPU,full,0,0.825637,203.900000
1,5000,GPU,full,1,0.793178,177.900000
1,5000,GPU,full,2,0.887173,252.800000
1,5000,GPU,full,3,0.853174,241.600000
1,5000,GPU,full,4,0.836964,221.000000
1,5000,GPU,full,5,0.858403,238.200000
1,5000,GPU,full,6,0.829108,229.800000
1,5000,GPU,full,7,0.799293,163.900000
1,5000,GPU,full,8,0.821647,231.200000
1,5000,GPU,full,9,0.827273,235.800000
1,5000,GPU,full,10,0.847170,238.800000
1,5000,GPU,full,11,0.809034,235.500000
1,5000,GPU,full,12,0.823011,201.800000
1,5000,GPU,full,13,0.872432,238.500000
1,5000,GPU,full,14,0.835661,217.100000
1,5000,GPU,full,15,0.837187,235.000000
1,5000,GPU,full,16,0.870334,243.500000
1,5000,GPU,full,17,0.887908,240.200000
1,5000,GPU,full,18,0.857538,245.200000
1,5000,GPU,full,19,0.853559,204.000000
1,5000,GPU,full,20,0.826900,162.900000
1,5000,GPU,full,21,0.854114,213.700000
1,5000,GPU,full,22,0.888189,240.600000
1,5000,GPU,full,23,0.919029,307.100000
1,10000,CPU,construct,0,2.442552,
1,10000,CPU,construct,1,2.443729,
1,10000,CPU,construct,2,2.484288,
1,10000,CPU,construct,3,2.516268,
1,10000,CPU,full,0,8.558089,6.007858
1,10000,CPU,full,1,8.418908,5.983122
1,10000,CPU,full,2,8.248654,5.833323
1,10000,CPU,full,3,8.400545,5.898251
1,10000,CPU,full,4,8.315416,5.876781
1,10000,CPU,full,5,8.426701,5.884762
1,10000,CPU,full,6,8.272231,5.919667
1,10000,CPU,full,7,8.239496,5.877287
1,10000,CPU,full,8,8.262906,5.838046
1,10000,CPU,full,9,8.201838,5.814250
1,10000,CPU,full,10,8.186128,5.864862
1,10000,CPU,full,11,8.229050,5.884335
1,10000,CPU,full,12,8.348385,5.853113
1,10000,CPU,full,13,8.262267,5.865197
1,10000,CPU,full,14,8.258976,5.815486
1,10000,CPU,full,15,8.193544,5.820845
1,10000,GPU,construct,0,2.487134,
1,10000,GPU,construct,1,2.464933,
1,10000,GPU,construct,2,2.390383,
1,10000,GPU,construct,3,2.513810,
1,10000,GPU,full,0,2.897907,416.600000
1,10000,GPU,full,1,3.123576,405.900000
1,10000,GPU,full,2,3.436101,407.400000
1,10000,GPU,full,3,3.416588,406.600000
1,10000,GPU,full,4,3.428035,407.000000
1,10000,GPU,full,5,3.244475,409.400000
1,10000,GPU,full,6,3.485047,406.700000
1,10000,GPU,full,7,3.348805,413.700000
1,10000,GPU,full,8,3.420816,413.500000
1,10000,GPU,full,9,3.226016,406.300000
1,10000,GPU,full,10,3.321034,407.000000
1,10000,GPU,full,11,3.517756,407.800000
1,10000,GPU,full,12,3.269898,407.400000
1,10000,GPU,full,13,3.210060,406.800000
1,10000,GPU,full,14,3.233758,406.300000
1,10000,GPU,full,15,3.333965,407.600000
1,20000,CPU,construct,0,8.437359,
1,20000,CPU,construct,1,8.472138,
1,20000,CPU,construct,2,8.308946,
1,20000,CPU,full,0,20.162206,11.630863
1,20000,CPU,full,1,20.247177,11.678969
1,20000,CPU,full,2,20.321578,11.808435
1,20000,CPU,full,3,20.254014,11.860755
1,20000,CPU,full,4,20.388632,11.937541
1,20000,CPU,full,5,20.632574,11.979907
1,20000,CPU,full,6,20.630458,11.878702
1,20000,CPU,full,7,20.608074,11.778798
1,20000,CPU,full,8,20.433084,11.761121
1,20000,CPU,full,9,20.275381,11.691394
1,20000,GPU,construct,0,65.878068,
1,20000,GPU,construct,1,9.030657,
1,20000,GPU,construct,2,9.131781,
1,20000,GPU,full,0,12.777882,3568.800000
1,20000,GPU,full,1,13.373876,3314.900000
1,20000,GPU,full,2,13.210568,3327.800000
1,20000,GPU,full,3,13.084189,3473.400000
1,20000,GPU,full,4,13.203612,3476.500000
1,20000,GPU,full,5,13.144207,3374.500000
1,20000,GPU,full,6,12.643181,3399.100000
1,20000,GPU,full,7,12.514547,3411.100000
1,20000,GPU,full,8,12.104679,3290.200000
1,20000,GPU,full,9,12.786772,3301.800000
1,50000,CPU,construct,0,59.482786,
1,50000,CPU,construct,1,60.519146,
1,50000,CPU,full,0,95.509789,30.829656
1,50000,CPU,full,1,92.801206,30.333063
1,50000,CPU,full,2,91.179588,30.437373
1,50000,CPU,full,3,90.198126,30.361588
1,50000,CPU,full,4,87.191362,30.122290
1,50000,GPU,construct,0,61.277426,
1,50000,GPU,construct,1,65.600312,
1,50000,GPU,full,0,73.318800,
1,50000,GPU,full,1,72.196563,
1,50000,GPU,full,2,74.748887,
1,50000,GPU,full,3,74.743736,
1,50000,GPU,full,4,72.191744,
